"","gender","detail","feeling","impact","opinion"
"1",1,34,35,29,26
"2",0,34,33,36,36
"3",0,39,39,26,42
"4",0,37,37,33,32
"5",0,39,31,39,51
"6",1,42,36,31,39
"7",0,31,36,39,46
"8",0,50,31,34,31
"9",1,39,41,42,41
"10",0,34,37,39,31
"11",1,34,44,39,41
"12",0,39,33,47,41
"13",0,47,31,36,36
"14",1,36,44,42,41
"15",1,35,35,51,33
"16",0,44,44,34,46
"17",1,28,46,44,51
"18",1,42,46,36,46
"19",0,34,46,39,36
"20",0,34,49,42,56
"21",1,42,39,42,41
"22",0,37,44,39,46
"23",1,41,47,39,51
"24",1,44,44,40,31
"25",1,47,37,42,46
"26",0,44,38,39,46
"27",1,44,49,35,51
"28",0,44,44,39,51
"29",1,47,41,40,41
"30",1,44,50,39,51
"31",1,47,44,42,36
"32",0,47,39,42,26
"33",0,47,40,45,31
"34",1,47,46,33,41
"35",0,44,41,50,26
"36",0,42,39,56,46
"37",0,50,33,44,36
"38",1,41,59,34,51
"39",0,42,41,50,41
"40",0,47,47,42,51
"41",0,42,31,47,51
"42",0,50,42,36,61
"43",1,45,55,34,41
"44",0,50,40,49,47
"45",1,39,44,44,48
"46",1,42,54,42,41
"47",1,47,46,47,61
"48",1,39,54,47,36
"49",1,47,42,39,51
"50",1,44,49,39,51
"51",1,50,41,44,56
"52",0,55,41,44,41
"53",1,44,44,47,51
"54",0,45,57,31,56
"55",1,44,52,44,51
"56",0,42,49,50,56
"57",0,47,41,42,56
"58",1,36,57,50,41
"59",1,47,62,34,46
"60",0,44,33,58,31
"61",1,42,54,47,46
"62",0,50,40,55,56
"63",1,47,52,48,61
"64",1,43,57,50,51
"65",0,48,49,44,51
"66",1,47,46,48,46
"67",1,42,57,50,43
"68",1,52,49,44,61
"69",1,50,52,39,56
"70",1,39,53,50,41
"71",1,42,54,50,52
"72",1,47,57,44,41
"73",0,52,41,53,56
"74",0,57,52,47,57
"75",1,42,57,47,61
"76",1,47,54,50,56
"77",1,46,52,44,56
"78",1,50,52,50,56
"79",0,44,44,50,46
"80",0,50,46,58,61
"81",0,36,49,61,36
"82",1,39,54,53,41
"83",0,47,52,50,56
"84",0,52,44,55,41
"85",1,50,49,47,46
"86",1,50,46,53,66
"87",1,47,54,53,61
"88",0,55,39,53,46
"89",0,50,59,53,61
"90",0,55,45,58,51
"91",1,50,52,58,36
"92",1,43,54,55,46
"93",0,63,44,53,56
"94",1,57,50,51,58
"95",1,50,62,55,31
"96",1,55,59,42,56
"97",0,47,52,53,61
"98",1,50,52,55,56
"99",0,60,46,53,61
"100",1,57,41,55,52
"101",0,44,52,63,61
"102",1,57,52,61,56
"103",1,52,55,54,61
"104",0,42,41,72,31
"105",0,63,49,66,41
"106",1,61,59,44,66
"107",1,60,54,50,51
"108",1,52,54,53,51
"109",1,52,59,55,61
"110",0,57,55,50,51
"111",1,47,62,53,61
"112",0,57,54,47,51
"113",1,55,54,42,56
"114",0,52,54,55,51
"115",1,47,59,58,46
"116",0,47,57,58,46
"117",0,55,61,49,61
"118",1,63,52,50,51
"119",1,57,59,50,56
"120",1,60,62,50,51
"121",1,57,60,53,37
"122",1,52,59,53,66
"123",1,47,65,50,56
"124",1,47,61,63,31
"125",0,47,59,53,46
"126",0,52,59,61,61
"127",1,50,59,61,61
"128",1,52,59,61,51
"129",1,55,65,50,61
"130",1,55,57,58,61
"131",0,63,59,55,71
"132",0,55,49,61,56
"133",0,63,49,66,46
"134",1,65,59,46,66
"135",0,52,62,47,46
"136",1,47,59,66,61
"137",0,60,54,55,66
"138",0,54,63,55,46
"139",0,63,43,65,44
"140",0,60,54,58,61
"141",0,60,52,61,61
"142",1,52,57,58,56
"143",0,57,57,58,56
"144",0,63,57,58,51
"145",0,53,61,57,56
"146",1,55,62,58,61
"147",1,57,62,58,66
"148",1,52,65,56,51
"149",0,63,57,58,41
"150",0,63,59,55,56
"151",0,55,59,58,51
"152",1,63,62,55,61
"153",0,57,65,63,61
"154",1,68,62,50,51
"155",1,50,62,63,51
"156",1,57,62,55,41
"157",1,65,54,58,56
"158",1,60,62,50,56
"159",0,63,65,63,56
"160",0,47,62,69,66
"161",1,52,67,63,61
"162",0,65,65,63,66
"163",1,63,60,54,66
"164",1,60,59,61,51
"165",1,68,59,55,71
"166",1,68,59,63,61
"167",0,60,65,61,66
"168",0,55,62,63,66
"169",1,63,65,53,61
"170",0,68,59,63,66
"171",0,55,59,69,46
"172",1,73,61,55,66
"173",1,57,65,54,56
"174",1,50,67,66,56
"175",0,68,65,55,61
"176",1,68,65,59,56
"177",1,65,67,55,71
"178",1,65,65,58,71
"179",1,57,62,61,61
"180",0,76,52,64,61
"181",1,63,63,61,61
"182",0,65,59,63,51
"183",0,65,65,61,66
"184",0,68,59,74,66
"185",1,73,67,58,66
"186",1,66,67,61,66
"187",1,68,60,69,66
"188",0,65,67,66,71
"189",0,65,62,66,66
"190",0,68,54,66,66
"191",1,71,65,58,71
"192",1,68,62,69,61
"193",0,68,59,66,56
"194",0,73,60,61,71
"195",1,76,63,67,66
"196",1,63,65,69,71
"197",0,63,63,72,66
"198",0,73,67,63,66
"199",1,71,65,66,56
"200",0,73,62,69,66
