"gender","detail","feeling","impact","opinion"
1,34,35,29,26
0,34,33,36,36
0,39,39,26,42
0,37,37,33,32
0,39,31,39,51
1,42,36,31,39
0,31,36,39,46
0,50,31,34,31
1,39,41,42,41
0,34,37,39,31
1,34,44,39,41
0,39,33,47,41
0,47,31,36,36
1,36,44,42,41
1,35,35,51,33
0,44,44,34,46
1,28,46,44,51
1,42,46,36,46
0,34,46,39,36
0,34,49,42,56
1,42,39,42,41
0,37,44,39,46
1,41,47,39,51
1,44,44,40,31
1,47,37,42,46
0,44,38,39,46
1,44,49,35,51
0,44,44,39,51
1,47,41,40,41
1,44,50,39,51
1,47,44,42,36
0,47,39,42,26
0,47,40,45,31
1,47,46,33,41
0,44,41,50,26
0,42,39,56,46
0,50,33,44,36
1,41,59,34,51
0,42,41,50,41
0,47,47,42,51
0,42,31,47,51
0,50,42,36,61
1,45,55,34,41
0,50,40,49,47
1,39,44,44,48
1,42,54,42,41
1,47,46,47,61
1,39,54,47,36
1,47,42,39,51
1,44,49,39,51
1,50,41,44,56
0,55,41,44,41
1,44,44,47,51
0,45,57,31,56
1,44,52,44,51
0,42,49,50,56
0,47,41,42,56
1,36,57,50,41
1,47,62,34,46
0,44,33,58,31
1,42,54,47,46
0,50,40,55,56
1,47,52,48,61
1,43,57,50,51
0,48,49,44,51
1,47,46,48,46
1,42,57,50,43
1,52,49,44,61
1,50,52,39,56
1,39,53,50,41
1,42,54,50,52
1,47,57,44,41
0,52,41,53,56
0,57,52,47,57
1,42,57,47,61
1,47,54,50,56
1,46,52,44,56
1,50,52,50,56
0,44,44,50,46
0,50,46,58,61
0,36,49,61,36
1,39,54,53,41
0,47,52,50,56
0,52,44,55,41
1,50,49,47,46
1,50,46,53,66
1,47,54,53,61
0,55,39,53,46
0,50,59,53,61
0,55,45,58,51
1,50,52,58,36
1,43,54,55,46
0,63,44,53,56
1,57,50,51,58
1,50,62,55,31
1,55,59,42,56
0,47,52,53,61
1,50,52,55,56
0,60,46,53,61
1,57,41,55,52
0,44,52,63,61
1,57,52,61,56
1,52,55,54,61
0,42,41,72,31
0,63,49,66,41
1,61,59,44,66
1,60,54,50,51
1,52,54,53,51
1,52,59,55,61
0,57,55,50,51
1,47,62,53,61
0,57,54,47,51
1,55,54,42,56
0,52,54,55,51
1,47,59,58,46
0,47,57,58,46
0,55,61,49,61
1,63,52,50,51
1,57,59,50,56
1,60,62,50,51
1,57,60,53,37
1,52,59,53,66
1,47,65,50,56
1,47,61,63,31
0,47,59,53,46
0,52,59,61,61
1,50,59,61,61
1,52,59,61,51
1,55,65,50,61
1,55,57,58,61
0,63,59,55,71
0,55,49,61,56
0,63,49,66,46
1,65,59,46,66
0,52,62,47,46
1,47,59,66,61
0,60,54,55,66
0,54,63,55,46
0,63,43,65,44
0,60,54,58,61
0,60,52,61,61
1,52,57,58,56
0,57,57,58,56
0,63,57,58,51
0,53,61,57,56
1,55,62,58,61
1,57,62,58,66
1,52,65,56,51
0,63,57,58,41
0,63,59,55,56
0,55,59,58,51
1,63,62,55,61
0,57,65,63,61
1,68,62,50,51
1,50,62,63,51
1,57,62,55,41
1,65,54,58,56
1,60,62,50,56
0,63,65,63,56
0,47,62,69,66
1,52,67,63,61
0,65,65,63,66
1,63,60,54,66
1,60,59,61,51
1,68,59,55,71
1,68,59,63,61
0,60,65,61,66
0,55,62,63,66
1,63,65,53,61
0,68,59,63,66
0,55,59,69,46
1,73,61,55,66
1,57,65,54,56
1,50,67,66,56
0,68,65,55,61
1,68,65,59,56
1,65,67,55,71
1,65,65,58,71
1,57,62,61,61
0,76,52,64,61
1,63,63,61,61
0,65,59,63,51
0,65,65,61,66
0,68,59,74,66
1,73,67,58,66
1,66,67,61,66
1,68,60,69,66
0,65,67,66,71
0,65,62,66,66
0,68,54,66,66
1,71,65,58,71
1,68,62,69,61
0,68,59,66,56
0,73,60,61,71
1,76,63,67,66
1,63,65,69,71
0,63,63,72,66
0,73,67,63,66
1,71,65,66,56
0,73,62,69,66
